"Back","Назад"
"Execute Action","Изпълнение на действието"
"Reset","Изчистване"
"Attribute Code","Код на атрибута"
"Anonymizer","Анонимизиране"
"Add Attribute's Anonymizer","Добавяне към анонимизатора на атрибута"
"Component","Компонент"
"Processor","Изпълнител"
"Add Component Erasure Strategy","Добавяне на стратегия за изтриване на компонента"
"Erase Personal Data","Изтриване на лични данни"
"Are you sure you want to do this?","Сигурни ли сте, че искате да изпълните това действие?"
"Export Personal Data","Експортиране на лични данни"
"The action state is now: %1.","Състоянието сега е: %1."
"An error occurred on the server.","Възникна сървърна грешка."
"View Actions","Действия"
"GDPR","GDPR"
"Please correct the data sent.","Мпля коригирайте изпратените данни."
"Action with ID ""%1"": %2","Действиет с ID ""%1"": %2"
"A total of %1 record(s) have been deleted.","Общо %1 запис(а) бяха изтрити."
"Execute New Action","Изпълнение на ново действие"
"You erased the order.","Изтрихте поръчката."
"You erased the customer.","Изтрихте клиента."
"Customer with id ""%1"": %2","Клиент с ID: ""%1"": %2"
"A total of %1 record(s) were erased.","Общо %1 запис(а) бяха изтрити."
"The document does not exists and may have expired. Please renew your demand.","Документа не съществува или е изтекло времето му за достъп. Обновете заявката си."
"Something went wrong, please try again later!","Нещо се обърка. Опитайте по-късно!"
"Your personal data is being removed soon.","Вашите лични данни се премахват в момента."
"You will be notified when the export is ready.","Ще Ви информираме когато процеса приключи."
"A document is already available in your order page.","Документа вече е наличен в страницата за преглед на поръчката."
"You canceled your personal data deletion.","Прекратихте изтриването на лични данни."
"Your account is already being removed.","Вашият акаунт вече се премахва."
"The session initialization has failed.","Инициализирането на сесията беше неуспешно."
"You did not sign in correctly or your account is temporarily disabled.","Не успяхте да влезете в акаунта си или същият временно е заключен."
"A document is already available in your account.","Документа вече е наличен в акаунта Ви."
"You canceled your account deletion.","Прекратихте изтриването на акаунта."
"Could not save the entity.","Записа не може да бъде запазен."
"Could not delete entity with id ""%1"".","Не може да се изтрие записа с ID ""%1""."
"File ""%1"" does not exists.","Файла ""%1"" не съществува."
"Succeeded","Успех"
"Failed","Неуспех"
"Impossible to initiate the erasure, it's already processing or there is still pending orders.","Не е възможно да се стартира процеса - може би вече е стартиран или имате незавършени поръчки."
"The erasure process is running and cannot be undone.","Процеса по изтриване вече е започнат - не може да бъде прекъснат."
"Impossible to process the erasure, there is still pending orders.","Не е възможно да се стартира процеса - все още имате незавършени поръчки."
"Impossible to process the erasure: %1","Не е възможно да се изпълни изтриването: %1"
"An export entity already exists for the entity type ""%1"" with ID ""%2"".","An export entity already exists for the entity type ""%1"" with ID ""%2""."
"State ""%1"" does not exists.","Състоянието ""%1"" не съществува."
"Your account have been erased and you have signed out.","Акаунта ви беше изтрит и бяхте логаутнат."
"* Required Fields","* Задължителни полета"
"Confirm password to continue","Въведете паролата си за да продължите"
"Password","Парола"
"Erase Account","Изтриване на акаунт"
"Warning","Внимание"
"Do you really want to erase your personal data?","Сигурни ли сте, че искате да изтриете личните си данни?"
"Right to be forgotten","Премахване на лични данни"
