"Back","Tilbage"
"Execute Action","Udfør handling"
"Reset","Reset"
"Attribute Code","Attributkode"
"Anonymizer","Anonymisering"
"Add Attribute's Anonymizer","Tilføj anonymiseringsfunktion til attribut"
"Component","Komponent"
"Processor","Processor"
"Add Component Erasure Strategy","Tilføj komponent strategi for sletning"
"Erase Personal Data","Slet persondata"
"Are you sure you want to do this?","Er du sikker på, at du vil gøre dette?"
"Export Personal Data","Eksporter persondata"
"The action state is now: %1.","Handlingens tilstand er nu: %1."
"An error occurred on the server.","Der opstod en fejl på serveren."
"View Actions","Vis Handlinger"
"GDPR","GDPR"
"Please correct the data sent.","Ret venligst de sendte data."
"Action with ID ""%1"": %2","Handling med ID ""%1"": %2"
"A total of %1 record(s) have been deleted.","I alt %1 post(er) er blevet slettet."
"Execute New Action","Udfør ny handling"
"You erased the order.","Du har slettet ordren"
"You erased the customer.","Du har slettet kunden."
"Customer with id ""%1"": %2","Kunde med id ""%1"": %2"
"A total of %1 record(s) were erased.","I alt %1 post(er) er blevet slettet."
"The document does not exists and may have expired. Please renew your demand.","Dokumentet eksisterer ikke og kan være udløbet. Venligst forny din anmodning."
"Something went wrong, please try again later!","Noget gik galt, prøv venligst igen senere!"
"Your personal data is being removed soon.","Dine persondata bliver snart fjernet."
"You will be notified when the export is ready.","Du vil få besked, når eksporten er klar."
"A document is already available in your order page.","Et dokument er allerede tilgængeligt på din ordreside."
"You canceled your personal data deletion.","Du annullerede sletningen af dine persondata."
"Your account is already being removed.","Din konto bliver allerede fjernet."
"The session initialization has failed.","Sessionens initialisering mislykkedes."
"You did not sign in correctly or your account is temporarily disabled.","Forkert bruger navn eller password, eller din konto er midlertidigt deaktiveret."
"A document is already available in your account.","Et dokument er allerede tilgængeligt på din konto."
"You canceled your account deletion.","Du annullerede sletningen af dine persondata."
"Could not save the entity.","Kunne ikke gemme enheden."
"Could not delete entity with id ""%1"".","Kunne ikke slette enhed med id ""%1""."
"File ""%1"" does not exists.","Fil ""%1"" eksisterer ikke."
"Succeeded","Gennemført"
"Failed","Mislykkedes"
"Impossible to initiate the erasure, it's already processing or there is still pending orders.","Fejl ved opstart af sletning: Et job er i gang eller afventer udførelse."
"The erasure process is running and cannot be undone.","Sletning er startet og kan ikke fortrydes."
"Impossible to process the erasure, there is still pending orders.","Umuligt at behandle sletningen, pga. eksisterende jobs."
"Impossible to process the erasure: %1","Umuligt at behandle sletningen: %1"
"An export entity already exists for the entity type ""%1"" with ID ""%2"".","Et job eksisterer allerede for enhedstypen ""%1"" med ID ""%2""."
"GDPR Email Success","GDPR E-mail Succes"
"GDPR Email Error: %1","GDPR E-mail Fejl: %1"
"State ""%1"" does not exists.","Tilstand ""%1"" eksisterer ikke."
"* Required Fields","* Obligatoriske felter"
"Confirm password to continue","Bekræft adgangskode for at fortsætte"
"Password","Adgangskode"
"Erase Account","Slet Konto"
"Warning","Advarsel"
"Do you really want to erase your personal data?","Vil du virkelig slette dine persondata?"
"Right to be forgotten","Ret til at blive glemt"
"Your account will be erased soon. You can undo this action.","Din konto vil snart blive slettet. Du kan fortryde denne handling."
"Undo Action","Fortryd Handling"
"Your account cannot be erased while you have pending orders.","Din konto kan ikke slettes, mens du har ventende ordrer."
"Download Personal Data","Download Persondata"
"Your personal data document is pending export.","Dit persondata dokument afventer eksport."
"Information","Information"
