"Back","Zurück"
"Execute Action","Aktion ausführen"
"Reset","Zurücksetzen"
"Attribute Code","Attribut-Code"
"Anonymizer","Anonymisierer"
"Add Attribute's Anonymizer","Anonymisierer für Attribute hinzufügen"
"Component","Komponente"
"Processor","Bearbeiter"
"Add Component Erasure Strategy","Komponenten-Löschstrategie hinzufügen"
"Erase Personal Data","Persönliche Daten löschen"
"Are you sure you want to do this?","Sind Sie sicher, dass Sie das tun wollen?"
"Export Personal Data","Persönliche Daten exportieren"
"The action state is now: %1.","Der Aktionszustand ist jetzt: %1."
"An error occurred on the server.","Auf dem Server ist ein Fehler aufgetreten."
"View Actions","Aktionen anzeigen"
"GDPR","GDPR"
"Please correct the data sent.","Bitte korrigieren Sie die gesendeten Daten."
"Action with ID ""%1"": %2","Aktion mit der ID ""%1"": %2"
"A total of %1 record(s) have been deleted.","Insgesamt wurden %1 Datensatz(e) gelöscht."
"Execute New Action","Neue Aktion ausführen"
"You erased the order.","Sie haben den Auftrag gelöscht."
"You erased the customer.","Sie haben den Kunden gelöscht."
"Customer with id ""%1"": %2","Kunde mit der Kennung ""%1"": %2"
"A total of %1 record(s) were erased.","Insgesamt wurden %1 Datensatz(e) gelöscht."
"The document does not exists and may have expired. Please renew your demand.","Das Dokument existiert nicht und ist möglicherweise abgelaufen. Bitte erneuern Sie Ihre Anfrage."
"Something went wrong, please try again later!","Etwas ist schief gelaufen, bitte versuchen Sie es später noch einmal!"
"Your personal data is being removed soon.","Ihre persönlichen Daten werden demnächst gelöscht."
"You will be notified when the export is ready.","Sie werden benachrichtigt, sobald der Export fertig ist."
"A document is already available in your order page.","Ein Dokument ist bereits auf Ihrer Bestellseite verfügbar."
"You canceled your personal data deletion.","Sie haben die Löschung Ihrer persönlichen Daten rückgängig gemacht."
"Your account is already being removed.","Ihr Konto wird bereits gelöscht."
"The session initialization has failed.","Die Sitzungsinitialisierung ist fehlgeschlagen."
"You did not sign in correctly or your account is temporarily disabled.","Sie haben sich nicht korrekt angemeldet oder Ihr Konto ist vorübergehend deaktiviert."
"A document is already available in your account.","In Ihrem Konto ist bereits ein Dokument verfügbar."
"You canceled your account deletion.","Sie haben die Löschung Ihres Kontos rückgängig gemacht."
"Could not save the entity.","Die Entität konnte nicht gespeichert werden."
"Could not delete entity with id ""%1"".","Konnte die Entität mit der ID ""%1"" nicht löschen."
"File ""%1"" does not exists.","Datei ""%1"" existiert nicht."
"Succeeded","Erfolgreich"
"Failed","Fehlgeschlagen"
"Impossible to initiate the erasure, it's already processing or there is still pending orders.","Es ist nicht möglich, die Löschung einzuleiten, sie ist bereits in Bearbeitung oder es gibt noch ausstehende Aufträge."
"The erasure process is running and cannot be undone.","Der Löschvorgang läuft und kann nicht rückgängig gemacht werden."
"Impossible to process the erasure, there is still pending orders.","Es ist nicht möglich, die Löschung zu verarbeiten, es gibt noch ausstehende Aufträge."
"Impossible to process the erasure: %1","Unmöglich, die Löschung zu verarbeiten: %1"
"An export entity already exists for the entity type ""%1"" with ID ""%2"".","Für den Entitätstyp ""%1"" mit der ID ""%2"" existiert bereits eine Exportentität."
"State ""%1"" does not exists.","Der Zustand ""%1"" ist nicht vorhanden."
"* Required Fields","* Erforderliche Felder"
"Confirm password to continue","Passwort bestätigen, um fortzufahren"
"Password","Kennwort"
"Erase Account","Konto löschen"
"Warning","Warnung"
"Do you really want to erase your personal data?","Wollen Sie wirklich Ihre persönlichen Daten löschen?"
"Right to be forgotten","Recht auf Vergessen"
"Your account will be erased soon. You can undo this action.","Ihr Konto wird bald gelöscht. Sie können diese Aktion rückgängig machen."
"Undo Action","Aktion rückgängig machen"
"Your account cannot be erased while you have pending orders.","Ihr Konto kann nicht gelöscht werden, solange Sie ausstehende Bestellungen haben."
"Download Personal Data","Persönliche Daten herunterladen"
"Your personal data document is pending export.","Ihr Personaldatendokument ist zum Export ausstehend."
"Information","Informationen"
"Undo Erase Personal Data","Löschung persönlicher Daten rückgängig machen"
"Cancellation of the erase of your %store_name information","Stornierung der Löschung Ihrer %store_name-Informationen"
"%name,","%Name,"
"We have received a request to cancel the erasure of the information associated with your account at %store_name.","Wir haben eine Anfrage erhalten, die Löschung der mit Ihrem Konto bei %store_name verbundenen Informationen zu annullieren."
"If you have not authorized this action, please contact us immediately at <a href=""mailto:%store_email"">%store_email</a>","Wenn Sie diese Aktion nicht autorisiert haben, kontaktieren Sie uns bitte umgehend unter <a href=""mailto:%store_email"">%store_email</a>"
"Thanks,<br>%store_name","Danke,<br>%store_name"
"Erase your %store_name information","Löschen Sie Ihre %store_name-Informationen"
"We have received a request to erase the information associated with your account at %store_name.","Wir haben eine Anfrage zur Löschung der mit Ihrem Konto bei %store_name verbundenen Informationen erhalten."
"You can cancel the erase whitin %delay hours by <a href=""%account_url"">logging into your account</a>.","Sie können die Löschung innerhalb von %verzögerten Stunden durch <a href=""%account_url"">Einloggen in Ihr Konto</a> abbrechen."
"Erasure of your %store_name information","Löschung Ihrer %store_name Informationen"
"We have successfully erased the information associated with your account at %store_name.","Wir haben die mit Ihrem Konto bei %store_name verknüpften Informationen erfolgreich gelöscht."
"Export your %store_name information","Exportieren Sie Ihre %store_name-Informationen"
"We have received a request to export the information associated with your account at %store_name.","Wir haben eine Anfrage zum Export der mit Ihrem Konto bei %store_name verknüpften Informationen erhalten."
"We will notify you when the export will be ready. The action will be available in your account.","Wir werden Sie benachrichtigen, sobald der Export fertig ist. Die Aktion wird in Ihrem Konto verfügbar sein."
"The export of you personal data is ready. The action is now available in your account.","Der Export Ihrer persönlichen Daten ist bereit. Die Aktion ist nun in Ihrem Konto verfügbar."
