Back,Back
"Execute Action","Execute Action"
Reset,Reset
"Attribute Code","Attribute Code"
Anonymizer,Anonymizer
"Add Attribute's Anonymizer","Add Attribute's Anonymizer"
Component,Component
Processor,Processor
"Add Component Erasure Strategy","Add Component Erasure Strategy"
"Erase Personal Data","Erase Personal Data"
"Are you sure you want to do this?","Are you sure you want to do this?"
"Export Personal Data","Export Personal Data"
"The action state is now: %1.","The action state is now: %1."
"An error occurred on the server.","An error occurred on the server."
"View Actions","View Actions"
GDPR,GDPR
"Please correct the data sent.","Please correct the data sent."
"Action with ID ""%1"": %2","Action with ID ""%1"": %2"
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"Execute New Action","Execute New Action"
"You erased the order.","You erased the order."
"You erased the customer.","You erased the customer."
"Customer with id ""%1"": %2","Customer with id ""%1"": %2"
"A total of %1 record(s) were erased.","A total of %1 record(s) were erased."
"The document does not exists and may have expired. Please renew your demand.","The document does not exists and may have expired. Please renew your demand."
"Something went wrong, please try again later!","Something went wrong, please try again later!"
"Your personal data is being removed soon.","Your personal data is being removed soon."
"You will be notified when the export is ready.","You will be notified when the export is ready."
"A document is already available in your order page.","A document is already available in your order page."
"You canceled your personal data deletion.","You canceled your personal data deletion."
"Your account is already being removed.","Your account is already being removed."
"The session initialization has failed.","The session initialization has failed."
"You did not sign in correctly or your account is temporarily disabled.","You did not sign in correctly or your account is temporarily disabled."
"A document is already available in your account.","A document is already available in your account."
"You canceled your account deletion.","You canceled your account deletion."
"Could not save the entity.","Could not save the entity."
"Could not delete entity with id ""%1"".","Could not delete entity with id ""%1""."
"File ""%1"" does not exists.","File ""%1"" does not exists."
Succeeded,Succeeded
Failed,Failed
"Impossible to initiate the erasure, it's already processing or there is still pending orders.","Impossible to initiate the erasure, it's already processing or there is still pending orders."
"The erasure process is running and cannot be undone.","The erasure process is running and cannot be undone."
"Impossible to process the erasure, there is still pending orders.","Impossible to process the erasure, there is still pending orders."
"Impossible to process the erasure: %1","Impossible to process the erasure: %1"
"An export entity already exists for the entity type ""%1"" with ID ""%2"".","An export entity already exists for the entity type ""%1"" with ID ""%2""."
"State ""%1"" does not exists.","State ""%1"" does not exists."
"Your account have been erased and you have signed out.","Your account have been erased and you have signed out."
"* Required Fields","* Required Fields"
"Confirm password to continue","Confirm password to continue"
Password,Password
"Erase Account","Erase Account"
Warning,Warning
"Do you really want to erase your personal data?","Do you really want to erase your personal data?"
"Right to be forgotten","Right to be forgotten"
"Your account will be erased soon. You can undo this action.","Your account will be erased soon. You can undo this action."
"Undo Action","Undo Action"
"Your account cannot be erased while you have pending orders.","Your account cannot be erased while you have pending orders."
"Download Personal Data","Download Personal Data"
"Your personal data document is pending export.","Your personal data document is pending export."
Information,Information
"Undo Erase Personal Data","Undo Erase Personal Data"
"Cancellation of the erase of your %store_name information","Cancellation of the erase of your %store_name information"
"%name,","%name,"
"We have received a request to cancel the erasure of the information associated with your account at %store_name.","We have received a request to cancel the erasure of the information associated with your account at %store_name."
"If you have not authorized this action, please contact us immediately at <a href=""mailto:%store_email"">%store_email</a>","If you have not authorized this action, please contact us immediately at <a href=""mailto:%store_email"">%store_email</a>"
"Thanks,<br>%store_name","Thanks,<br>%store_name"
"Erase your %store_name information","Erase your %store_name information"
"We have received a request to erase the information associated with your account at %store_name.","We have received a request to erase the information associated with your account at %store_name."
"You can cancel the erase whitin %delay hours by <a href=""%account_url"">logging into your account</a>.","You can cancel the erase whitin %delay hours by <a href=""%account_url"">logging into your account</a>."
"Erasure of your %store_name information","Erasure of your %store_name information"
"We have successfully erased the information associated with your account at %store_name.","We have successfully erased the information associated with your account at %store_name."
"Export your %store_name information","Export your %store_name information"
"We have received a request to export the information associated with your account at %store_name.","We have received a request to export the information associated with your account at %store_name."
"We will notify you when the export will be ready. The action will be available in your account.","We will notify you when the export will be ready. The action will be available in your account."
"The export of you personal data is ready. The action is now available in your account.","The export of you personal data is ready. The action is now available in your account."
"Cookie Disclosure","Cookie Disclosure"
"Read More","Read More"
Accept,Accept
"GDPR Compliance Erase Customer","GDPR Compliance Erase Customer"
"GDPR Compliance Export Customer","GDPR Compliance Export Customer"
"GDPR Compliance Erase Guest Order","GDPR Compliance Erase Guest Order"
"GDPR Compliance Export Guest Order","GDPR Compliance Export Guest Order"
"GDPR Actions","GDPR Actions"
"Execute Actions","Execute Actions"
"Edit Actions","Edit Actions"
"Delete Actions","Delete Actions"
"GDPR Compliance Section","GDPR Compliance Section"
"Action Logs","Action Logs"
"GDPR Compliance","GDPR Compliance"
"User Action","User Action"
"Action Settings","Action Settings"
"Cookie Policy","Cookie Policy"
"Cookie Settings","Cookie Settings"
"It will enable the cookie disclosure popin to the storefront.","It will enable the cookie disclosure popin to the storefront."
"Data Erasure","Data Erasure"
"Right To Erasure","Right To Erasure"
Erasure,Erasure
"It will enable the erase action to the storefront.","It will enable the erase action to the storefront."
"Erasure Delay","Erasure Delay"
"Erasure delay in minute before the execution by the cron. From 60 to 43800.","Erasure delay in minute before the execution by the cron. From 60 to 43800."
"Erase Entity Cron Schedule","Erase Entity Cron Schedule"
"Entities Lifetime","Entities Lifetime"
"The time is in days.","The time is in days."
"Erase Old Entities Cron Schedule","Erase Old Entities Cron Schedule"
"Sales Information Lifetime","Sales Information Lifetime"
"Allowed Order States to Erase","Allowed Order States to Erase"
"Customer Component Erasure Strategy","Customer Component Erasure Strategy"
"Defines the components erasure strategy with the component/erase processor mapper for the customers.","Defines the components erasure strategy with the component/erase processor mapper for the customers."
