"Back","Indietro"
"Execute Action","Esegui Azione"
"Reset","Reset"
"Attribute Code","Codice Attributo"
"Anonymizer","Anonimizzatore"
"Add Attribute's Anonymizer","Aggiungi attributo dell'anonimizzatore"
"Component","Componente"
"Processor","Processore"
"Add Component Erasure Strategy","Aggiungi strategia cancellazione componenti"
"Erase Personal Data","Elimina dati personali"
"Are you sure you want to do this?","Sei sicuro di voler fare questo?"
"Export Personal Data","Esporta dati personali"
"The action state is now: %1.",""
"An error occurred on the server.","Errore nel server"
"View Actions","Vedi azioni"
"GDPR","GDPR"
"Please correct the data sent.","Correggi i dati inviati."
"Action with ID ""%1"": %2","Azione con ID ""%1"": %2"
"A total of %1 record(s) have been deleted.",""
"Execute New Action","Esegui nuova azione"
"You erased the order.","Hai cancellato l'ordine."
"You erased the customer.","Hai eliminato il cliente."
"Customer with id ""%1"": %2","Cliente con id ""%1"": %2"
"A total of %1 record(s) were erased.","%1 record sono stati cancellati."
"The document does not exists and may have expired. Please renew your demand.","Il documento non esiste e potrebbe essere scaduto. Rinnova la tua richiesta."
"Something went wrong, please try again later!","Qualcosa è andato storto, per favore ritenta più tardi!"
"Your personal data is being removed soon.","I tuoi dati personali verranno rimossi a breve."
"You will be notified when the export is ready.","Verrai notificato quando l'export è pronto."
"A document is already available in your order page.","Un documento è già disponibile nella tua pagina d'ordine."
"You canceled your personal data deletion.","Hai annullato la cancellazione dei tuoi dati personali."
"Your account is already being removed.","Il tuo account è già in rimozione."
"The session initialization has failed.",""
"You did not sign in correctly or your account is temporarily disabled.","Non ti sei autenticato correttamente o il tuo account è temporaneamente disabilitato."
"A document is already available in your account.","Un documento è già disponibile nel tuo account."
"You canceled your account deletion.","Hai cancellato la procedura di eliminazione del tuo account."
"Could not save the entity.","Impossibile salvare l'entità."
"Could not delete entity with id ""%1"".","Impossibile eliminare l'entity con id ""%1""."
"File ""%1"" does not exists.","Il file ""%1"" non esiste."
"Succeeded","Eseguito correttamente"
"Failed","Fallito"
"Impossible to initiate the erasure, it's already processing or there is still pending orders.","Impossibile inizializzare la procedura di cancellazione, un'altra procedura è in corso o hai ordini in corso."
"The erasure process is running and cannot be undone.","La procedura di eliminazione è in corso e non può essere annullata."
"Impossible to process the erasure, there is still pending orders.","Impossibile procedere con l'eliminazione, ci sono ancora ordini in corso."
"Impossible to process the erasure: %1","Impossibile processare la cancellazione: %1"
"An export entity already exists for the entity type ""%1"" with ID ""%2"".","Un esportazione è già presente per il tipo di entità ""%1"" con ID ""%2""."
"State ""%1"" does not exists.","State ""%1"" inesistente."
"* Required Fields","* Campi Obbligatori"
"Confirm password to continue","Conferma la password per continuare"
"Password","Password"
"Erase Account","Elimina Account"
"Warning","Attenzione"
"Do you really want to erase your personal data?","Vuoi veramente eliminare i tuoi dati personali?"
"Right to be forgotten","Diritto all'oblio"
"Your account will be erased soon. You can undo this action.","Il tuo account verrà eliminato presto. Puoi ancora annullare questa azione."
"Undo Action","Annulla Azione"
"Your account cannot be erased while you have pending orders.","Il tuo account non può essere eliminato mentre ci sono ordini in corso."
"Download Personal Data","Scarica i dati personali"
"Your personal data document is pending export.","L'export dei tuoi dati personali è in pending."
"Information","Informazione"
"Undo Erase Personal Data","Annulla Cancellazione Dati Personali"
"Cancellation of the erase of your %store_name information",""
"%name,",""
"We have received a request to cancel the erasure of the information associated with your account at %store_name.",""
"If you have not authorized this action, please contact us immediately at <a href=""mailto:%store_email"">%store_email</a>",""
"Thanks,<br>%store_name",""
"Erase your %store_name information",""
"We have received a request to erase the information associated with your account at %store_name.",""
"You can cancel the erase whitin %delay hours by <a href=""%account_url"">logging into your account</a>.",""
"Erasure of your %store_name information",""
"We have successfully erased the information associated with your account at %store_name.",""
"Export your %store_name information",""
"We have received a request to export the information associated with your account at %store_name.",""
"We will notify you when the export will be ready. The action will be available in your account.",""
"The export of you personal data is ready. The action is now available in your account.",""
"Cookie Disclosure","Informazioni Cookie"
"Read More","Leggi tutto"
"Accept","Accetto"
"GDPR Compliance Erase Customer","Conformità al GDPR per eliminazione dei dati cliente"
"GDPR Compliance Export Customer","Conformità al GDPR per l'esportazione dei dati cliente"
"GDPR Compliance Erase Guest Order",""
"GDPR Compliance Export Guest Order",""
"GDPR Actions",""
"Execute Actions",""
"Edit Actions",""
"Delete Actions",""
"GDPR Compliance Section","Sezione Conformità al GDPR"
"Action Logs",""
"GDPR Compliance","Conformità al GDPR"
"User Action",""
"Action Settings",""
"Cookie Policy",""
"Cookie Settings","Impostazioni Cookie"
"It will enable the cookie disclosure popin to the storefront.",""
"Data Erasure",""
"Right To Erasure","Diritto alla cancellazione"
"Erasure","Cancellazione"
"It will enable the erase action to the storefront.",""
"Erasure Delay","Ritardo nella cancellazione"
"Erasure delay in minute before the execution by the cron.","Ritardo nella cancellazione in minuti prima dell'esecuzione dal cron"
"Erase Entity Cron Schedule",""
"Entities Lifetime",""
"The time is in days.",""
"Erase Old Entities Cron Schedule",""
"Sales Information Lifetime",""
"Allowed Order States to Erase","Stati Ordini permessi per l'eliminazione"
"Customer Component Erasure Strategy",""
"Defines the components erasure strategy with the component/erase processor mapper for the customers.",""
"Guest Component Erasure Strategy",""
"Defines the components erasure strategy with the component/erase processor mapper for the guests.",""
"Anonymization","Anonimizzazione"
"Delete Customer if no Orders","Elimina cliente se non ha ordini"
"We will delete the customer if he has no orders. It's only applicable if the component ""customer"" use the ""anonymize"" processor.","Noi elimineremo il cliente se non ha ordini. E' applicabile solo se il componente ""Cliente"" usa il processo di anonimizzazione."
"Customer Attributes Anonymizers","Anonimizzatore Attributi cliente"
"Customer Custom Attributes Anonymizers","Anonimizzatore Attributi Custom cliente"
"Customer Extensible Data Anonymizers","Anonimizzatore dati estesi cliente"
"Customer Address Attributes Anonymizers","Anonimizzatore Attributi indirizzi cliente"
"Customer Address Custom Attributes Anonymizers","Anonimizzatore attributi indirizzi custom cliente"
"Customer Address Extensible Data Anonymizers","Anonimizzatore dati estesi indirizzi cliente"
"Quote Attributes Anonymizers","Anonimizzatore attributi Quote"
"Quote Custom Attributes Anonymizers","Anonimizzatore Attributi Custom Quote"
"Quote Extensible Data Anonymizers","Anonimizzatore dati estesi Quote"
"Quote Address Attributes Anonymizers","Anonimizzatore Attributi indirizzi quote"
"Quote Address Custom Attributes Anonymizers","Anonimizzatore indirizzi custom quote"
"Quote Address Extensible Data Anonymizers","Anonimizzatore Dati estesi Indirizzi quote"
"Order Attributes Anonymizers","Anonimizzatore Attributi ordine"
"Order Custom Attributes Anonymizers","Anonimizzatore attributi custom ordine"
"Order Extensible Data Anonymizers","Anonimizzatore dati estesi ordine"
"Order Address Attributes Anonymizers","Anonimizzatore attributi indirizzo ordine"
"Order Address Custom Attributes Anonymizers","Anonimizzatore attributi custom ordine"
"Order Address Extensible Data Anonymizers","Anonimizzatore dati estesi indirizzo ordine"
"Subscriber Attributes Anonymizers","Anonimizzatore attributi newsletter"
"Data Export",""
"Export Settings","Esporta Impostazioni"
"Export","Esporta"
"It will enable the export action to the storefront.",""
"Renderers",""
"Select formats of the export. Notice: At least one human and one machine readable format should be selected.",""
"Export File Name",""
"We will use this value as file name of the document export.",""
"Export Scheduler",""
"Export Life Time",""
"Export life time in minute before it is removed from the server.",""
"Erase Expired Export Schedule",""
"Customer","Cliente"
"Customer Attributes","Attributi Cliente"
"This attributes list will be exported when processed.","Questa lista di attributi sarà esportata quando verrà processata."
"Customer Custom Attributes","Attributi custom cliente"
"Comma-separated",""
"Customer Extensible Data","Dati estesi cliente"
"Customer Address Attributes","Attributi indirizzo cliente"
"Customer Address Custom Attributes","Attributi custom indirizzo cliente"
"Customer Address Extensible Data","Dati estesi indirizzo cliente"
"Quote Attributes","Attributi Quote"
"Quote Custom Attributes","Attributi custom Quote"
"Quote Extensible Data","Dati estesi Quote"
"Quote Address Attributes","Attributi Indirizzo Quote"
"Quote Address Custom Attributes","Attributi custom indirizzo Quote"
"Quote Address Extensible Data","Dati estesi indirizzo Quote"
"Order Attributes","Attributi Ordine"
"Order Custom Attributes","Attributi Custom Ordine"
"Order Extensible Data","Dati estesi Ordine"
"Order Address Attributes","Attributi Indirizzo Ordine"
"Order Address Custom Attributes","Attributi Custom Indirizzo Ordine"
"Order Address Extensible Data","Dati estesi Indirizzo Ordine"
"Subscriber Attributes","Attributi newsletter"
"Global",""
"General","Generale"
"Enabled","Abilitato"
"It will enable the module features in the admin and frontend ui.",""
"Information page","Informazioni pagina"
"This page should store information about privacy and GDPR policy.","Questa pagina dovrebbe contenere le informazioni riguardo la privacy e la GPDR Policy."
"User Notification",""
"Notification",""
"Pending Action",""
"Email Sender",""
"Pending Erasure Template",""
"Email template chosen based on theme fallback when ""Default"" option is selected.",""
"Pending Erasure Template for Guest",""
"Send Email Copy To",""
"Send Email Copy Method",""
"Succeeded Action",""
"Succeeded Erasure Template",""
"Succeeded Erasure Template for Guest",""
"Canceled Action",""
"Canceled Erasure Template",""
"Canceled Erasure Template for Guest",""
"Pending Export Template",""
"Pending Export Template for Guest",""
"Ready Action",""
"Ready Export Template",""
"Ready Export Template for Guest",""
"Are you sure you want to erase the selected customers?","Sei sicuro di voler cancellare gli utenti selezionati?"
"Erase items","Elimina elementi"
"Erase (GDPR)","Elimina (GDPR)"
"Are you sure you want to export the selected customers?","Sei sicuro di voler esportare gli utenti selezionati?"
"Export items","Esporta elementi"
"Export (GDPR)","Esporta (GDPR)"
"New Action",""
"Type",""
"Action types are registered in the code.",""
"Parameters",""
"Add Parameter",""
"Name",""
"Value",""
"Edit",""
"Are you sure you want to delete the action log?",""
"Delete items",""
"Delete",""
"ID",""
"Performed From",""
"Performed By",""
"Performed At",""
"State",""
"Message",""
