"Back","Terug"
"Execute Action",""
"Reset",""
"Attribute Code","Attribuut Code"
"Anonymizer","Anonimiseren"
"Add Attribute's Anonymizer","Anonymizer van attribuut toevoegen"
"Component","Component"
"Processor","Verwerker"
"Add Component Erasure Strategy","Verwijder strategie aan component toevoegen"
"Erase Personal Data","Persoonlijke Gegevens Verwijderen"
"Are you sure you want to do this?","Weet u zeker dat u deze actie wilt uitvoeren?"
"Export Personal Data","Persoonlijke Gegevens Exporteren"
"The action state is now: %1.",""
"An error occurred on the server.","Er is een fout opgetreden."
"View Actions",""
"GDPR",""
"Please correct the data sent.",""
"Action with ID ""%1"": %2",""
"A total of %1 record(s) have been deleted.",""
"Execute New Action",""
"You erased the order.","U heeft de bestelling verwijderd."
"You erased the customer.","U heeft de klant verwijderd."
"Customer with id ""%1"": %2","Klant met id ""%1"": %2"
"A total of %1 record(s) were erased.","Er zijn in totaal %1 record(s) verwijderd."
"The document does not exists and may have expired. Please renew your demand.",""
"Something went wrong, please try again later!","Er ging iets mis, probeer het later opnieuw!"
"Your personal data is being removed soon.","Uw persoonlijke gevens worden verwijderd."
"You will be notified when the export is ready.",""
"A document is already available in your order page.",""
"You canceled your personal data deletion.","U heeft het verzoek om uw persoonlijke gegevens te verwijderen ingetrokken."
"Your account is already being removed.","Het verzoek tot verwijderen van uw account is al in behandeling."
"The session initialization has failed.",""
"You did not sign in correctly or your account is temporarily disabled.","Uw inlog gegevens zijn niet juist of uw account is tijdelijk uitgeschakeld."
"A document is already available in your account.",""
"You canceled your account deletion.","U heeft het verzoek om uw account te verwijderen ingetrokken."
"Could not save the entity.","Kan de gegevens niet opslaan."
"Could not delete entity with id ""%1"".","Kan gegevens van id ""%1"" niet verwijderen."
"File ""%1"" does not exists.","Bestand ""%1"" bestaat niet."
"Succeeded",""
"Failed",""
"Impossible to initiate the erasure, it's already processing or there is still pending orders.","Het is niet mogelijk om het verwijder proces te starten, het is al in behandeling of er zijn openstaande bestellingen in de betreffende account(s)."
"The erasure process is running and cannot be undone.","Het verwijder proces is bezig, dit is onherroepelijk."
"Impossible to process the erasure, there is still pending orders.","Het is niet mogelijk om het verwijder proces te starten, er zijn nog openstaande bestellingen in de betreffende account(s)"
"Impossible to process the erasure: %1",""
"An export entity already exists for the entity type ""%1"" with ID ""%2"".",""
"State ""%1"" does not exists.",""
"* Required Fields","* Vereiste Velden"
"Confirm password to continue","Bevestig wachtwoord om door te gaan"
"Password","Wachtwoord"
"Erase Account","Verwijder Account"
"Warning","Waarschuwing"
"Do you really want to erase your personal data?","Weet u zeker dat u uw persoonlijke gegevens wil verwijderen?"
"Right to be forgotten","Recht om vergeten te worden"
"Your account will be erased soon. You can undo this action.","Uw account zal binnenkort worden verwijderd. Deze actie is herroepelijk."
"Undo Action","Ongedaan Maken"
"Your account cannot be erased while you have pending orders.","Uw account kan niet worden verwijderd terwijl u openstaande bestellingen heeft."
"Download Personal Data",""
"Your personal data document is pending export.",""
"Information","Informatie"
"Undo Erase Personal Data","Verwijderen van persoonlijke gegevens terugdraaien"
"Cancellation of the erase of your %store_name information",""
"%name,",""
"We have received a request to cancel the erasure of the information associated with your account at %store_name.",""
"If you have not authorized this action, please contact us immediately at <a href=""mailto:%store_email"">%store_email</a>",""
"Thanks,<br>%store_name",""
"Erase your %store_name information",""
"We have received a request to erase the information associated with your account at %store_name.",""
"You can cancel the erase whitin %delay hours by <a href=""%account_url"">logging into your account</a>.",""
"Erasure of your %store_name information",""
"We have successfully erased the information associated with your account at %store_name.",""
"Export your %store_name information",""
"We have received a request to export the information associated with your account at %store_name.",""
"We will notify you when the export will be ready. The action will be available in your account.",""
"The export of you personal data is ready. The action is now available in your account.",""
"Cookie Disclosure","Cookie Informatie"
"Read More","Lees Meer"
"Accept","Accepteren"
"GDPR Compliance Erase Customer","Verwijder Klant (Naleving AVG)"
"GDPR Compliance Export Customer","Exporteer Klant (Naleving AVG)"
"GDPR Compliance Erase Guest Order","Verwijder Bestelling als Gast (Naleving AVG)"
"GDPR Compliance Export Guest Order","Exporteer Bestelling als Gast (Naleving AVG)"
"GDPR Actions",""
"Execute Actions",""
"Edit Actions",""
"Delete Actions",""
"GDPR Compliance Section","Sectie Naleving AVG"
"Action Logs",""
"GDPR Compliance","Naleving AVG"
"User Action",""
"Action Settings",""
"Cookie Policy",""
"Cookie Settings","Cookie Instellingen"
"It will enable the cookie disclosure popin to the storefront.",""
"Data Erasure",""
"Right To Erasure","Recht Op Vernietiging"
"Erasure","Vernietiging"
"It will enable the erase action to the storefront.","Dit zal het mogelijk maken om vanaf de webwinkel kant gegevens te kunnen verwijderen."
"Erasure Delay","Startuitstel van Verwijdering"
"Erasure delay in minute before the execution by the cron.","Startuitstel in minuten voor het uitvoeren via geplande taken"
"Erase Entity Cron Schedule","Ingeplande Verwijdering Van Gegevens"
"Entities Lifetime","Maximale leeftijd van entiteiten"
"The time is in days.","De tijd is in dagen."
"Erase Old Entities Cron Schedule","Verwijderen Van Oude Entiteiten (Geplande Taken)"
"Sales Information Lifetime","Leeftijd van informatie over verkopen"
"Allowed Order States to Erase","Toegestane statussen van bestelling om te verwijderen"
"Customer Component Erasure Strategy","Klant Component Verwijder Strategie"
"Defines the components erasure strategy with the component/erase processor mapper for the customers.","Definieert de verwijder strategie van het component/verwijder processor koppeling voor de klanten"
"Guest Component Erasure Strategy","Gast Component Verwijder Strategie"
"Defines the components erasure strategy with the component/erase processor mapper for the guests.","Definieert de verwijder strategie van het component/verwijder processor koppeling voor de gasten"
"Anonymization","Anonimisatie"
"Delete Customer if no Orders","Verwijder klant als deze geen bestellingen heeft"
"We will delete the customer if he has no orders. It's only applicable if the component ""customer"" use the ""anonymize"" processor.","We zullen de klant verwijderen als deze geen orders heeft. Dit zal alleen gebeuren als het component ""customer"" de ""anonymize"" processor gebruikt."
"Customer Attributes Anonymizers","Klant Attributen Anonimiseren"
"Customer Custom Attributes Anonymizers","Aangepaste Klant Attributen Anonimiseren"
"Customer Extensible Data Anonymizers","Uitgebreide Klant Gegevens Anonimiseren"
"Customer Address Attributes Anonymizers","Klant Adres Attributen Anonimiseren"
"Customer Address Custom Attributes Anonymizers","Aangepaste Klant Adres Attributen Anonimiseren"
"Customer Address Extensible Data Anonymizers","Uitgebreide Klant Adres Gegevens Anonimiseren"
"Quote Attributes Anonymizers","Offerte Attributen Anonimiseren"
"Quote Custom Attributes Anonymizers","Aangepaste Offerte Attributen Anonimiseren"
"Quote Extensible Data Anonymizers","Uitgebreide Offerte Data Anonimiseren"
"Quote Address Attributes Anonymizers","Offerte Adres Attributen Anonimiseren"
"Quote Address Custom Attributes Anonymizers","Offerte Aangepaste Adres Attributen Anonimiseren"
"Quote Address Extensible Data Anonymizers","Offerte Aangepaste Attributen Anonimiseren"
"Order Attributes Anonymizers","Bestelling Attributen Anonimiseren"
"Order Custom Attributes Anonymizers","Aangepaste Bestelling Attributen Anonimiseren"
"Order Extensible Data Anonymizers","Uitgebreide Bestelling Data Anonimiseren"
"Order Address Attributes Anonymizers","Bestelling Adres Attributen Anonimiseren"
"Order Address Custom Attributes Anonymizers","Aangepaste Bestelling Adres Attributen Anonimiseren"
"Order Address Extensible Data Anonymizers","Uitgebreide Bestelling Adres Gegevens Anonimiseren"
"Subscriber Attributes Anonymizers","Abbonee Attributen Anonimiseren"
"Data Export",""
"Export Settings","Exporteer Instellingen"
"Export","Exporteren"
"It will enable the export action to the storefront.","Dit zal het mogelijk maken om vanaf de webwinkel kant gegevens te kunnen exporteren."
"Renderers",""
"Select formats of the export. Notice: At least one human and one machine readable format should be selected.",""
"Export File Name",""
"We will use this value as file name of the document export.",""
"Export Scheduler",""
"Export Life Time",""
"Export life time in minute before it is removed from the server.",""
"Erase Expired Export Schedule",""
"Customer","Klant"
"Customer Attributes","Klant Attributen"
"This attributes list will be exported when processed.","Deze lijst met gegevens zal geëxporteerd worden."
"Customer Custom Attributes","Aangepaste Klant Attributen"
"Comma-separated",""
"Customer Extensible Data","Uitgebreide Klant Gegevens"
"Customer Address Attributes","Klant Adres Attributen"
"Customer Address Custom Attributes","Aangepaste Klant Adres Attributen"
"Customer Address Extensible Data","Uitgebreide Klant Adres Gegevens"
"Quote Attributes","Offerte Attributen"
"Quote Custom Attributes","Aangepaste Offerte Attributen"
"Quote Extensible Data","Uitgebreide Offerte Gegevens"
"Quote Address Attributes","Offerte Adres Attributen"
"Quote Address Custom Attributes","Aangepaste Offerte Adres Attributen"
"Quote Address Extensible Data","Uitgebreide Offerte Adres Gegevens"
"Order Attributes","Bestelling Attributen"
"Order Custom Attributes","Aangepaste Bestelling Attributen"
"Order Extensible Data","Uitgebreide Gegevens Bestelling"
"Order Address Attributes","Bestelling Adres Attributen"
"Order Address Custom Attributes","Aangepaste Bestelling Adres Attributen"
"Order Address Extensible Data","Uitgebreide Bestelling Adres Gegevens"
"Subscriber Attributes","Abonnee Attributen"
"Global",""
"General","Algemeen"
"Enabled","Ingeschakeld"
"It will enable the module features in the admin and frontend ui.",""
"Information page","Informatie Pagina"
"This page should store information about privacy and GDPR policy.","Deze pagina moet informatie bevatten over privacy en de AVG wetgeving."
"User Notification",""
"Notification",""
"Pending Action",""
"Email Sender",""
"Pending Erasure Template",""
"Email template chosen based on theme fallback when ""Default"" option is selected.",""
"Pending Erasure Template for Guest",""
"Send Email Copy To",""
"Send Email Copy Method",""
"Succeeded Action",""
"Succeeded Erasure Template",""
"Succeeded Erasure Template for Guest",""
"Canceled Action",""
"Canceled Erasure Template",""
"Canceled Erasure Template for Guest",""
"Pending Export Template",""
"Pending Export Template for Guest",""
"Ready Action",""
"Ready Export Template",""
"Ready Export Template for Guest",""
"Are you sure you want to erase the selected customers?","Weet u zeker dat u de geselecteerde klanten wilt verwijderen?"
"Erase items","Verwijder items"
"Erase (GDPR)","Verwijderen (AVG)"
"Are you sure you want to export the selected customers?","Weet u zeker dat u de geselecteerde klanten wilt exporten?"
"Export items","Exporteer Items"
"Export (GDPR)","Exporteer (AVG)"
"New Action",""
"Type",""
"Action types are registered in the code.",""
"Parameters",""
"Add Parameter",""
"Name",""
"Value",""
"Edit",""
"Are you sure you want to delete the action log?",""
"Delete items",""
"Delete",""
"ID",""
"Performed From",""
"Performed By",""
"Performed At",""
"State",""
"Message",""
