"Back","Wróć"
"Execute Action","Wykonaj czynność"
"Reset","Reset"
"Attribute Code","Kod atrybutu"
"Anonymizer","Anonimizer"
"Add Attribute's Anonymizer","Dodaj anonimizer atrybut"
"Component","Komponent"
"Processor","Procesor"
"Add Component Erasure Strategy","Dodaj strategię czyszczenia komponentu"
"Erase Personal Data","Usuń dane osobowe"
"Are you sure you want to do this?","Czy na pewno chcesz to zrobić?"
"Export Personal Data","Eksportuj dane osobowe"
"The action state is now: %1.","Status czynności: %1."
"An error occurred on the server.","Wystąpił błąd po stronie serwera."
"View Actions","Przejrzyj akcje"
"GDPR","RODO"
"Please correct the data sent.","Popraw przesłane dane."
"Action with ID ""%1"": %2","Czyność o ID ""%1"": %2"
"A total of %1 record(s) have been deleted.","Usunięto wpisów: %1."
"Execute New Action","Wykonaj nową czynność"
"You erased the order.","Zamówienie usunięte."
"You erased the customer.","Klient usunięty."
"Customer with id ""%1"": %2","Klient o id ""%1"": %2"
"A total of %1 record(s) were erased.","Usunięto %1 wpisów."
"The document does not exists and may have expired. Please renew your demand.","Dokument nie istnieje lub jest nieaktualny. Prosimy ponowić próbę."
"Something went wrong, please try again later!","Coś poszło nie tak. Spróbuj później."
"Your personal data is being removed soon.","Twoje dane personalne zostaną wkrótce usunięte."
"You will be notified when the export is ready.","Otrzymasz notyfikację, gdy dane do eksportu będą gotowe."
"A document is already available in your order page.","Dokument jest już dostępny na Twojej stronie zamówień."
"You canceled your personal data deletion.","Anulowałeś usuwanie danych osobowych."
"Your account is already being removed.","Twoje konto jes usuwane."
"The session initialization has failed.","Inicjalizacja sesji nie powiodła się."
"You did not sign in correctly or your account is temporarily disabled.","Podano niepoprawne dane logowania lub konto jest chwilowo zablokowane."
"A document is already available in your account.","Dokument jest już dostępny na Twoim koncie."
"You canceled your account deletion.","Anulowałeś usuwanie konta."
"Could not save the entity.","Nie udało się zapisać obiektu."
"Could not delete entity with id ""%1"".","Nie udało się usunąć obiektu o id ""%1""."
"File ""%1"" does not exists.","Plik ""%1"" nie istnieje."
"Succeeded","Zakończony powodzeniem"
"Failed","Niepowodzenie"
"Impossible to initiate the erasure, it's already processing or there is still pending orders.","Nie udało się zainicjowac procedury usunięcia. Jest już w trakcie działania lub istnieją jeszcze nie przetworzone zamówienia."
"The erasure process is running and cannot be undone.","Proces usuwania w trakcie. Nie może zostać przerwany."
"Impossible to process the erasure, there is still pending orders.","Proces usunięcia niemożliwy, istnieją jeszcze nieprzetworzone zamówienia."
"Impossible to process the erasure: %1","Proces usunięcia niemożliwy: %1"
"An export entity already exists for the entity type ""%1"" with ID ""%2"".","Obiekt eksportu już istnieje dla obiektu o typie""%1"" o ID ""%2""."
"State ""%1"" does not exists.","Stan ""%1"" nie istnieje."
"Your account have been erased and you have signed out.","Twoje konto zostało usunięte. Zostałeś wylogowany."
"* Required Fields","* Pola wymagane"
"Confirm password to continue","Potwirdź hasło, by kontynuować"
"Password","Hasło"
"Erase Account","Usuń Konto"
"Warning","Ostrzeżenie"
"Do you really want to erase your personal data?","Czy napewno chcesz usunąć swoje dane osobowe?"
"Right to be forgotten","Prawo do bycia zapomnianym"
"Your account will be erased soon. You can undo this action.","Twoje konto zostanie wkrótce usunięte. Możesz anulowac tą czynność."
"Undo Action","Anuluj Czynność"
"Your account cannot be erased while you have pending orders.","Konto nie może zostać usunięte, dopóki istnieją nieprzetworzone zamówienia."
"Download Personal Data","Pobierz Dane Osobowe"
"Your personal data document is pending export.","Dokument z danymi osobowymi jest w trakcie eksportu."
"Information","Informacje"
"Undo Erase Personal Data","Anuluj usuwanie danych osobowych"
"Cancellation of the erase of your %store_name information","Anulowanie usuwania ifnformacji o sklepie %store_name "
"%name,","%name,"
"We have received a request to cancel the erasure of the information associated with your account at %store_name.","Otrzymaliśmy prośbę o anulowanie procesu usunięcia informacji powiązanych z Twoim kontem na %store_name."
