"Back","ย้อนกลับ"
"Execute Action","ดำเนินการ"
"Reset","ล้างค้า"
"Attribute Code","แอตทริบิวต์โค้ด"
"Anonymizer","ผู้ไม่ประสงค์ออกนาม"
"Add Attribute's Anonymizer","เพิ่มแอตทิรบิวต์ผู้ไม่ประสงค์ออกนาม"
"Component","คอมโพเน้นท์"
"Processor","โปรเซสเซอร์"
"Add Component Erasure Strategy","เพิ่มคอมโพเน้นท์ จัดการการลบ"
"Erase Personal Data","ลบข้อมูลส่วนบุคคล"
"Are you sure you want to do this?","คุณแน่ใจที่จะดำเนินการ?"
"Export Personal Data","ส่งออกข้อมูลส่วนบุคคล"
"The action state is now: %1.","สถานะการดำเนินการอยู่ในขณะนี้: %1"
"An error occurred on the server.","เกิดข้อผิดพลาดบนเซิร์ฟเวอร์"
"View Actions","ดูการดำเนินการ"
"GDPR","GDPR / PDPA"
"Please correct the data sent.","โปรดกรอกข้อมูลที่ส่งให้ถูกต้อง"
"Action with ID ""%1"": %2","ดำเนินการกับ ID ""%1"": %2"
"A total of %1 record(s) have been deleted.","รวม %1 รายการที่ทำการลบ"
"Execute New Action","ดำเนินการใหม่"
"You erased the order.","คุณได้ลบคำสั่ง"
"You erased the customer.","คุณลบลูกค้า"
"Customer with id ""%1"": %2","ไอดีลูกค้า ""%1"": %2"
"A total of %1 record(s) were erased.","รวม %1 รายการที่ลบ"
"The document does not exists and may have expired. Please renew your demand.","เอกสารนี้ไม่มีอยู่และอาจหมดอายุแล้ว กรุณาต่ออายุความต้องการของคุณ"
"Something went wrong, please try again later!","มีบางอย่างผิดพลาด กรุณาลองใหม่ภายหลัง"
"Your personal data is being removed soon.","ข้อมูลส่วนบุคคลของคุณจะถูกลบในไม่ช้า"
"You will be notified when the export is ready.","คุณจะได้รับแจ้งเมื่อการส่งออกพร้อม"
"A document is already available in your order page.","เอกสารมีอยู่แล้วในหน้าการสั่งซื้อของคุณ"
"You canceled your personal data deletion.","คุณยกเลิกการลบข้อมูลส่วนบุคคลของคุณแล้ว"
"Your account is already being removed.","ข้อมูลของคุณถูกลบไปแล้ว"
"The session initialization has failed.","การเริ่มต้นเซสชันล้มเหลว"
"You did not sign in correctly or your account is temporarily disabled.","คุณลงชื่อเข้าใช้ไม่ถูกต้องหรือบัญชีของคุณถูกปิดใช้งานชั่วคราว"
"A document is already available in your account.","เอกสารมีอยู่แล้วในบัญชีของคุณ"
"You canceled your account deletion.","คุณยกเลิกการลบบัญชีของคุณ"
"Could not save the entity.","ไม่สามารถบันทึกได้"
"Could not delete entity with id ""%1"".","ไม่สามารถลบข้อมูลไอดี ""%1"""
"File ""%1"" does not exists.","ไฟล์ ""%1"" ไม่มีแล้ว"
"Succeeded","เรียบร้อย"
"Failed","ไม่สำเร็จ"
"Impossible to initiate the erasure, it's already processing or there is still pending orders.","ไม่สามารถเริ่มต้นการลบได้ กำลังดำเนินการอยู่หรือยังมีคำสั่งซื้อที่รอดำเนินการอยู่"
"The erasure process is running and cannot be undone.","กระบวนการลบกำลังทำงานอยู่และไม่สามารถยกเลิกได้"
"Impossible to process the erasure, there is still pending orders.","ไม่สามารถดำเนินการลบได้ ยังมีคำสั่งซื้อที่รอดำเนินการอยู่"
"Impossible to process the erasure: %1","ไม่สามารถดำเนินการลบได้: %1"
"An export entity already exists for the entity type ""%1"" with ID ""%2"".","มีข้อมูลการส่งออกอยู่แล้วสำหรับข้อมูลประเภท ""%1"" ที่มีไอดี ""%2"""
"GDPR Email Success","อีเมล GDPR สำเร็จเรียบร้อย"
"GDPR Email Error: %1","ข้อผิดพลาดของอีเมล GDPR: %1"
"State ""%1"" does not exists.","ไม่มีสถานะ ""%1"""
"* Required Fields","* ฟิลด์ที่จำเป็น"
"Confirm password to continue","ยืนยันรหัสผ่านเพื่อดำเนินการ"
"Password","รหัสผ่าน"
"Erase Account","ลบบัญชีผู้ใช้"
"Warning","คำเตือน"
"Do you really want to erase your personal data?","คุณต้องการลบข้อมูลส่วนบุคคลออก?"
"Right to be forgotten","สิทธิ์ที่จะขอลบ"
"Your account will be erased soon. You can undo this action.","บัญชีของคุณจะถูกลบเร็วๆ นี้ คุณสามารถที่ยกเลิกการลบได้ด้วยการกระทำนี้"
"Undo Action","ยกเลิกการดำเนินการ"
"Your account cannot be erased while you have pending orders.","บัญชีของคุณไม่สามารถลบได้ เนื่องจากยังมีคำสั่งซื้อที่ยังรอดำเนินการอยู่"
"Download Personal Data","ดาวน์โหลดข้อมูลส่วนบุคคล"
"Your personal data document is pending export.","ข้อมูลส่วนบุคคลของคุณอยู่ระหว่างรอการส่งออก"
"Information","ข้อมูล"
"We use cookies to make your experience better.","เราใช้คุกกี้เพื่อทำให้ประสบการณ์ของคุณดีขึ้น"
"<a href=""%1"">Learn more</a>.","<a href=""%1"">อ่านเพิ่มเติม</a>"
"Allow Cookies","อนุญาตคุกกี้"
"Undo Erase Personal Data","เลิกทำ การลบข้อมูลส่วนบุคคล"
